Index,Continent,Companycountry,Metal,Mine,Status
510,Africa,South Africa,Coal,Leeuwfontein,Operating
511,Africa,South Africa,Coal,Leeuwpan,Operating
512,Africa,South Africa,Au,Leslie,Suspended
513,Africa,South Africa,Au,Libanon,Closed
514,Africa,South Africa,Ag,Libanon,Closed
515,Oceania,Australia,Au,Lily,"Operating, exp/feasib"
516,Oceania,Australia,Au,Lindum,Suspended
517,Europe,UK,Cu,Lonmin,Suspended
518,Europe,UK,Au,Lonmin,Suspended
519,Europe,UK,Ni,Lonmin,Suspended
520,Europe,UK,PGM,Lonmin,Suspended
521,Europe,UK,Cu,Lonmin,Operating
522,Europe,UK,Au,Lonmin,Operating
523,Europe,UK,Ni,Lonmin,Operating
524,Europe,UK,PGM,Lonmin,Operating
525,Africa,South Africa,Dia,Lower,Operating
526,Europe,UK,Coal,Mafube,Operating
527,North America,Canada,Coal,Magdalena,Operating
528,North America,Canada,Coal,Magdelena,Operating
529,Oceania,Australia,Au,Makonjwaan,Suspended
530,Asia,Russia,Fe,Mapochs,Operating
531,Asia,China,Cu,Maranda,Closed
532,Asia,China,Zn,Maranda,Closed
533,Europe,UK,Cr,Marico,Operating
534,Africa,South Africa,Au,Marievale,Closed
535,Europe,UK,Au,Marikana,"Susp, restart/plans"
536,Europe,UK,PGM,Marikana,"Susp, restart/plans"
537,Africa,South Africa,Ni,Marula,"Operating, exp/plans"
538,Africa,South Africa,PGM,Marula,"Operating, exp/plans"
539,Africa,South Africa,Au,Masimong,Operating
540,Africa,South Africa,Au,Matjhabeng,Closed
541,Africa,South Africa,Coal,Matla,Operating
542,Oceania,Australia,Au,Megamine/Sub,Suspended
543,North America,USA,Cr,Metallurg,Active
544,Africa,South Africa,Coal,Middelbult,Operating
545,Oceania,Australia,Coal,Middelburg,Operating
546,Africa,South Africa,Coal,Middelburg,Operating
547,Africa,South Africa,Au,Middelvlei,Operating
548,Africa,South Africa,Coal,Mimosa,Operating
549,Africa,South Africa,Au,Moab,"Operating, exp/feasib"
550,Oceania,Australia,Au,Modder,Operating
551,Africa,South Africa,Au,Modderfontein,Operating
552,Europe,UK,Cu,Modikwa,"Operating, exp/feasib"
