Metalmineral,Fullname,Status,Controllingcompany1contro,Controllingcompany1country,Controllingcompany1type,Controllingcompany2contro,Controllingcompany2country,Controllingcompany2type,Controllingcompany3contro,Controllingcompany3country,Controllingcompany3type,Companycountry,Latitude,Longitude,country,shortname,metal,admin_03
Tantalum  (t),Marropino Tantalum Mine,Operating,Noventa (100%),UK,Company ,,,,,,,UK,,,Mozambique,Marropino,coltan,MOZ
Coal  (Mt),Minas Moatize Coal Mine,Operating: exp/feasib,Beacon Hill Res (100%),Australia,Company ,,,,,,,Australia,,,Mozambique,Minas,coal,MOZ
Coal  (Mt),Moatize Coal Mine,Operating: exp/constr,Vale (100%),Brazil,Major company,,,,,,,Brazil,,,Mozambique,Moatize,coal,MOZ
Diamond value  (M USD),,,,MISSING,,,,,,,,,,,Namibia,,Dia,NAM
Copper  (kt),Asis East (Teco) Silver/Copper Mine,Closed,,MISSING,,,,,,,,,-25.4,18.4833,Namibia,Asis,Cu,NAM
Lead  (kt),Asis East (Teco) Silver/Copper Mine,Closed,,MISSING,,,,,,,,,-25.4,18.4833,Namibia,Asis,Pb,NAM
Silver  (t),Asis East (Teco) Silver/Copper Mine,Closed,,MISSING,,,,,,,,,-25.4,18.4833,Namibia,Asis,Ag,NAM
Copper  (kt),Asis West (Teco) Copper/Silver Mine,Closed,,MISSING,,,,,,,,,-25.4,18.5,Namibia,Asis,Cu,NAM
Lead  (kt),Asis West (Teco) Copper/Silver Mine,Closed,,MISSING,,,,,,,,,-25.4,18.5,Namibia,Asis,Pb,NAM
Silver  (t),Asis West (Teco) Copper/Silver Mine,Closed,,MISSING,,,,,,,,,-25.4,18.5,Namibia,Asis,Ag,NAM
Diamond carats  (Mct),Atlantic 1 Diamond Mine,Operating,Anglo American (50%),UK,Major company,State of Namibia (50%),Namibia ,Government organ,,,,UK,,,Namibia,Atlantic,Dia,NAM
Diamond carats  (Mct),CDM Pty Ltd,Non-active,,MISSING,,,,,,,,,,,Namibia,CDM,Dia,NAM
Diamond carats  (Mct),Elizabeth Bay Diamond Mine,Operating,Anglo American (50%),UK,Major company,State of Namibia (50%),Namibia ,Government organ,,,,UK,-26.9267,15.1889,Namibia,Elizabeth,Dia,NAM
Copper  (kt),Klein Silver/Copper Aub Mine,Closed,,MISSING,,,,,,,,,-23.79,16.63,Namibia,Klein,Cu,NAM
Silver  (t),Klein Silver/Copper Aub Mine,Closed,,MISSING,,,,,,,,,-23.79,16.63,Namibia,Klein,Ag,NAM
Copper  (kt),Kombat/Asis West Copper/Lead Mine,Suspended,Grove Export (100%),South Africa,Company ,,,,,,,South Africa,-19.7,17.7,Namibia,Kombat/Asis,Cu,NAM
Lead  (kt),Kombat/Asis West Copper/Lead Mine,Suspended,Grove Export (100%),South Africa,Company ,,,,,,,South Africa,-19.7,17.7,Namibia,Kombat/Asis,Pb,NAM
Silver  (t),Kombat/Asis West Copper/Lead Mine,Suspended,Grove Export (100%),South Africa,Company ,,,,,,,South Africa,-19.7,17.7,Namibia,Kombat/Asis,Ag,NAM
Uranium oxide  (kt),Langer Heinrich Uranium Mine,Operating: exp/constr,Paladin (100%),Australia,Company ,,,,,,,Australia,-22.65,15.3167,Namibia,Langer,U,NAM
Copper  (kt),Matchless Copper Mine,Operating,Weatherly (100%),UK,Company ,,,,,,,UK,-22.8333,16.75,Namibia,Matchless,Cu,NAM
Silver  (t),Matchless Copper Mine,Operating,Weatherly (100%),UK,Company ,,,,,,,UK,-22.8333,16.75,Namibia,Matchless,Ag,NAM
Diamond carats  (Mct),Mining Area 1 Diamond Mine,Operating,Anglo American (50%),UK,Major company,State of Namibia (50%),Namibia ,Government organ,,,,UK,-28.251,16.011,Namibia,Mining,Dia,NAM
Diamond carats  (Mct),Namco Offshore Diamond Mine,Operating,Namco (100%),UK,Company ,,,,,,,UK,-26.55,15.0333,Namibia,Namco,Dia,NAM
